,EU Gov,EU Corps,Greek Gov,US Equity,EU Equity,EU Flot,Cash
8/31/2018,251.9488,220.0135,253.51,3015.21,6755.03,130.4873,71.823356
9/7/2018,252.8167,219.712,254.53,2987.93,6598.8,130.478,71.81798
9/14/2018,252.445,219.7885,258.8,3001.04,6680.52,130.5055,71.812803
9/21/2018,252.8768,219.9407,259.56,3002.13,6812.65,130.5139,71.807568
9/28/2018,251.6159,219.7924,259.13,3038.96,6817.61,130.5111,71.802253
10/5/2018,249.5768,219.5722,254.19,3039.18,6734.9,130.4858,71.796938
10/12/2018,249.2082,219.7644,256.03,2915.49,6451.57,130.4284,71.791763
10/19/2018,249.5824,219.8289,256.77,2936.57,6541.97,130.3513,71.786638
10/26/2018,251.4471,219.833,257.92,2866.51,6399.08,130.2795,71.781474
11/2/2018,251.3851,219.6654,257.73,2909.46,6554.78,130.2833,71.776257
11/9/2018,251.1362,219.7484,256.55,2978.71,6622.86,130.2976,71.771229
11/16/2018,250.7915,219.2019,254.58,2905.05,6494.88,130.0591,71.766202
11/23/2018,251.6005,218.8474,254.78,2780.01,6446.26,129.7843,71.761366
11/30/2018,252.9732,218.6835,259.39,2953.76,6542.96,129.5532,71.756748
12/7/2018,253.8285,218.4201,259.79,2797.51,6308.84,129.3396,71.752301
12/14/2018,254.5593,218.7951,260.67,2789.53,6344.28,129.3834,71.747889
12/21/2018,255.1615,218.7375,260.37,2560.16,6158.42,129.3615,71.743389
12/28/2018,255.2751,218.8434,260.48,2640.86,6150.25,129.3612,71.738822
1/4/2019,254.8261,218.55,260.21,2696.85,6276.58,129.2566,71.734327
1/11/2019,255.3197,218.5261,261.8,2737.32,6323.16,129.2353,71.729772
1/18/2019,255.9901,218.9987,263.83,2843.72,6439.36,129.4238,71.725216
1/25/2019,257.475,219.3814,264.97,2819.45,6411.44,129.5877,71.72036
2/1/2019,257.3753,219.9329,268.32,2842.58,6499.1,129.7564,71.715444
2/8/2019,256.8379,220.3252,268.55,2882.16,6515.04,129.8288,71.710662
2/15/2019,257.3648,220.4523,270.97,2962.84,6721.25,129.9085,71.705799
2/22/2019,257.5822,220.6586,272.37,2970.5,6763.1,130.0143,71.700826
3/1/2019,256.9287,220.7634,275.57,2978.54,6807.91,130.1464,71.695877
3/8/2019,259.6536,220.962,272.26,2970.88,6807.61,130.1537,71.690958
3/15/2019,259.4358,221.4962,277.07,3040.41,6999.55,130.27,71.686188
3/22/2019,261.5941,221.8564,278.14,3038.82,6935.81,130.3137,71.6817
3/29/2019,261.7876,222.2193,278.71,3081.26,7019.66,130.3265,71.677276
4/5/2019,261.2254,222.2871,282.81,3145.61,7153.74,130.405,71.673101
4/12/2019,261.1198,222.4063,287.46,3134.46,7116.35,130.4839,71.669402
4/19/2019,261.1857,222.7401,287.54,3169.33,7158.32,130.5694,71.666581
4/26/2019,261.7181,223.0608,287.99,3239.04,7208.61,130.6105,71.66307
5/3/2019,261.862,223.1945,287.26,3240.72,7234.75,130.6549,71.659647
5/10/2019,261.774,222.9237,283.69,3143.29,6999.37,130.5768,71.656155
5/17/2019,262.8799,222.923,286.02,3150.02,7146.3,130.54,71.652699
5/24/2019,263.4044,222.5627,286.89,3102.34,7077.07,130.4958,71.649501
5/31/2019,264.5505,222.7043,298.11,3030.54,6947.86,130.4854,71.646394
6/7/2019,267.8574,223.1165,301.43,3108.38,7124.9,130.5402,71.643494
6/14/2019,268.0331,223.373,305.44,3160.7,7150.78,130.5632,71.640571
6/21/2019,269.4095,224.1339,308.14,3211.45,7265.27,130.6295,71.637711
6/28/2019,270.6259,224.342,311.72,3173.15,7266.99,130.6512,71.635032
7/5/2019,272.8581,224.7452,318.61,3279.74,7365.48,130.7091,71.632818
7/12/2019,270.2951,224.5704,313.41,3303.49,7272.68,130.7355,71.63033
7/19/2019,272.9966,224.9963,318.21,3270.19,7284.57,130.7701,71.627838
7/26/2019,273.8145,225.4153,320.51,3353.46,7344.61,130.8444,71.625482
8/2/2019,276.3157,225.3777,320.04,3251.15,7115.79,130.83,71.622947
8/9/2019,276.1795,225.728,318.27,3196.53,7014.06,130.8205,71.620622
8/16/2019,280.354,225.879,322.05,3199.25,7028.09,130.8191,71.617838
8/23/2019,279.6779,226.0474,322.28,3148.45,7043.18,130.846,71.614866
8/30/2019,281.9958,226.1437,331.69,3262.76,7198.19,130.8777,71.610914
9/6/2019,281.0466,225.6754,332.93,3310.15,7324.52,130.8736,71.606809
9/13/2019,277.7067,224.9038,333.58,3337.74,7367.19,130.8478,71.601938
9/20/2019,279.0692,224.7902,339.92,3335.04,7433.82,130.8633,71.596128
9/27/2019,280.8561,225.041,339.59,3318.18,7446.58,130.8651,71.590815
10/4/2019,280.7502,225.1701,338.28,3319.4,7224.62,130.8578,71.585595
10/11/2019,278.1488,224.8746,336.47,3327.04,7424.3,130.8523,71.580543
10/18/2019,277.4261,224.7358,339.32,3301.14,7394.66,130.8535,71.574948
10/25/2019,277.1501,224.8909,343,3363.29,7553.38,130.8755,71.569358
11/1/2019,276.8772,224.966,343.88,3396.54,7554.54,130.869,71.564513
11/8/2019,274.4005,224.7146,339.88,3476.61,7681.76,130.8734,71.55762
11/15/2019,274.8791,224.7759,336.64,3496.19,7686.65,130.8652,71.551754
11/22/2019,275.4235,224.5859,338.2,3496.1,7652.77,130.8433,71.545931
11/29/2019,275.2439,224.7285,337.24,3540.12,7708.5,130.8518,71.539766
12/6/2019,273.6074,224.7637,335.82,3536.5,7688.25,130.8495,71.533507
12/13/2019,274.759,225.0662,339.98,3537.09,7754.61,130.8889,71.5273
12/20/2019,273.6101,225.1324,339.27,3613.06,7910.74,130.8906,71.5211
12/27/2019,273.8771,225.109,339.4,3622.88,7922.15,130.8884,71.5152
1/3/2020,274.3794,225.2302,339.44,3620.8,7906.94,130.8942,71.5094
1/10/2020,273.6163,224.9716,340.48,3681.77,7921.99,130.9122,71.504
1/17/2020,273.3052,225.125,339.37,3758.81,8022.44,130.9526,71.4982
1/24/2020,275.8099,225.5371,342.51,3753.6,7997.96,130.9812,71.4921
1/31/2020,279.3253,225.8735,346.67,3675.54,7756.31,130.9942,71.4863
2/7/2020,278.2643,225.7929,350.32,3850.5,8038.92,131.0253,71.4809
2/14/2020,278.9825,225.9629,353.8,3941.79,8102.33,131.0641,71.4754
2/21/2020,280.2365,225.9911,353.63,3879.74,8070.49,131.0712,71.4702
2/28/2020,280.6664,225.2635,345,3402.54,7087.72,130.892,71.4649
3/6/2020,282.6774,225.0473,343.03,3336.55,6997.09,130.7878,71.461
3/13/2020,274.9629,221.5635,330.63,3192.47,5790.98,129.8636,71.4572
3/20/2020,272.8899,215.2471,321.23,2854.23,5809.65,128.3103,71.4467
3/27/2020,275.5536,215.3034,342.83,2996.72,6139.83,127.483,71.4364
4/3/2020,272.8448,215.3532,334.81,3052.89,6211.22,127.6178,71.4246
4/10/2020,271.6408,217.3401,337.72,3322.14,6498.99,128.1513,71.4162
4/17/2020,272.3354,218.4251,330.25,3488.46,6574.81,128.4494,71.4079
4/24/2020,271.5161,218.7484,324.98,3478.25,6519.57,128.5058,71.4011
5/1/2020,274.7687,219.7508,329.61,3407.72,6602.64,128.6958,71.3956
5/8/2020,272.4372,219.3318,328.91,3579.2,6678.87,128.7238,71.3866
5/15/2020,272.9232,218.6666,332.41,3548.27,6478.22,128.7404,71.3797
5/22/2020,274.2202,219.3217,341.45,3617.36,6646.6,128.9127,71.3746
5/29/2020,275.3408,220.4936,346.26,3604.78,6776.75,129.2528,71.3702
6/5/2020,273.3557,222.5071,350.93,3680.09,7231.03,129.8039,71.3652
6/12/2020,275.6384,222.257,352.13,3580.85,6875.07,129.819,71.3605
6/19/2020,276.9603,222.4499,354.61,3679.67,7153.08,129.962,71.358
6/26/2020,278.1288,222.4164,354.54,3590.99,6997.24,129.9558,71.3576
7/3/2020,277.717,222.683,358.31,3726.94,7104.25,130.0318,71.3567
7/10/2020,278.918,222.9373,357.06,3825.2,7132.95,130.108,71.3549
7/17/2020,278.8319,223.425,355.68,3773.61,7247.92,130.2243,71.3532
7/24/2020,279.8656,224.0552,359.2,3683.24,7081.44,130.3586,71.3534
7/31/2020,281.0258,224.3504,359,3714.12,6853.78,130.3866,71.3504
8/7/2020,281.7025,224.5869,360.59,3833.99,6937.99,130.4565,71.3469
8/14/2020,279.7968,224.7845,357.23,3838.12,7025.75,130.5589,71.3425
8/21/2020,281.34,225.1274,357.96,3933.6,6977.53,130.5708,71.3377
8/28/2020,279.1843,224.9575,357.49,4055.59,7018.81,130.6039,71.3338
9/1/2020,278.8298,224.9256,357.57,4033.37,6993.88,130.6097,71.3316
